start,end,emission average
8. fall creek elementary,7. bjm elementary,3.350347631
8. fall creek elementary,8. fall creek elementary,0
8. fall creek elementary,9. boynton middle school,3.070418428
8. fall creek elementary,11. bus garage,1.378519283
8. fall creek elementary,12. enfield elementary,24.45771376
8. fall creek elementary,13. lehman alternative,6.605624966
8. fall creek elementary,14. tompkins recycling,8.221819987
8. fall creek elementary,tst boces tompkins,12.62322255
9. boynton middle school,1. dewitt middle school,11.51826151
9. boynton middle school,10. maint garage,5.261472059
9. boynton middle school,2. northeast elementary,12.35155048
9. boynton middle school,3. cayuga heights elementary,5.108346307
9. boynton middle school,4. belle sherman,7.853926651
9. boynton middle school,5. caroline elementary,26.10794071
9. boynton middle school,6. south hill elementary,7.280595347
9. boynton middle school,7. bjm elementary,6.027100819
9. boynton middle school,8. fall creek elementary,3.315350583
9. boynton middle school,9. boynton middle school,0
9. boynton middle school,11. bus garage,2.277300428
9. boynton middle school,12. enfield elementary,26.72044372
9. boynton middle school,13. lehman alternative,8.665849242
9. boynton middle school,14. tompkins recycling,10.10986069
9. boynton middle school,tst boces tompkins,11.15859404
tst boces tompkins,1. dewitt middle school,0.870812797
tst boces tompkins,10. maint garage,13.35188465
tst boces tompkins,2. northeast elementary,1.682646241
tst boces tompkins,3. cayuga heights elementary,6.38017822
tst boces tompkins,4. belle sherman,10.16699961
tst boces tompkins,5. caroline elementary,31.44466846
tst boces tompkins,6. south hill elementary,15.68850784
tst boces tompkins,7. bjm elementary,14.0978
tst boces tompkins,8. fall creek elementary,11.82536023
tst boces tompkins,9. boynton middle school,9.66394042
tst boces tompkins,11. bus garage,10.8140378
tst boces tompkins,12. enfield elementary,34.25833052
tst boces tompkins,13. lehman alternative,16.6686059
tst boces tompkins,14. tompkins recycling,18.07543694
tst boces tompkins,tst boces tompkins,0
